,fecha,hora_declarada,ruta,operador,tipo_aeronave,total_abordo,pasajeros_abordo,tripulacion_abordo,total_fatalidades,pasajeros_fatalidades,tripulacion_fatalidades,tierra_fatalidades
1353,1952-12-25,,"Off Caracas, Venezuela",Avensa,Douglas DC-3,5,,,3,,,0
1354,1952-12-25,,"Tehran, Iran",Iran Air,Douglas DC-3,29,25,4,27,23,4,0
1355,1952-12-30,,"Chinmen Island, Taiwan",Philippine Air Lines,Douglas DC-3,10,7,3,2,0,2,0
1356,1953-01-05,21:39:00,"Belfast, Northern Ireland",British European Airways,Vickers Viking 610-1B,35,31,4,27,24,3,0
1357,1953-01-07,20:55:00,"Issaquah, Washington",Flying Tiger Line,Douglas C-54B-10-DO,7,3,4,7,3,4,0
1358,1953-01-07,04:12:00,"Fish Haven, Idaho",Associated Air Transport,Curtiss C-46,40,37,3,40,37,3,0
1359,1953-01-15,04:48:00,"25 nm off Agrigento, Italy",Military -Royal Air Force,Vickers Valetta Mk1 / Avero Lancaster,26,16,10,26,16,10,0
1360,1953-01-26,11:44:00,"Sinnai, Sardinia, Italy",Linee Aeree Italiane,Douglas DC-3,19,15,4,19,15,4,0
1361,1953-02-02,05:30:00,"Off Newfoundland, Canada",Lancashire Aircraft Corporation (Skyways),Avro 685 York 1,39,33,6,39,33,6,0
1362,1953-02-03,,"Lai Chau, Vietnam",Air Outremer,Douglas C-47B-15-DK,18,15,3,18,15,3,0
1363,1953-02-07,10:28:00,"Bordeaux, France",UTA,Douglas C-54A-5-DC,19,13,6,9,3,6,0
1364,1953-02-09,19:00:00,"Cairo, Egypt",Military - Egyptian Air Force,Curtiss-Wright C-46,40,35,5,29,24,5,0
1365,1953-02-14,17:10:00,"Off Mobile, Alabama",National Airlines,Douglas DC-6,46,41,5,46,41,5,0
1366,1953-03-03,03:35:00,"Karachi, Pakistan",Canadian Pacific Air Lines,de Havilland DH106 Comet 1A,11,6,5,11,6,5,0
1367,1953-03-04,01:50:00,"Windsor Locks, Connecticut",Slick Airways,Curtiss C-46F,2,0,2,2,0,2,0
1368,1953-03-14,,"Kalasahar, India",Orient Airways,Convair CV-240-7,16,11,5,16,11,5,0
1369,1953-03-17,,"Off Da Nang, Vietnam",Aigle Azur,Douglas DC-3,8,,,8,,,0
1370,1953-03-18,04:10:00,"Random Island, Newfoundland",Military - U.S. Air Force,Convair RB-36H,23,18,5,23,18,5,0
1371,1953-03-18,19:51:00,"Stephenville, Newfoundland",u.s. Air Force,Boeing B-29 Superfortress,10,0,10,10,0,10,0
1372,1953-03-20,18:38:00,"Alvarado, California",Transocean Air Lines,Douglas DC-4  (C-54-10-DO),35,30,5,35,30,5,0
1373,1953-03-27,,"Itapebi, Brazil",Transportes Aéreos Salvador,de Havilland DH-114 Heron 1B,14,12,2,14,12,2,0
1374,1953-03-29,,"Mtara, Tanganyika",Central African Airways,Vickers 616 Viking 1B,13,8,5,13,8,5,0
1375,1953-04-10,,"Miandivazo, Madagascar",Air France,Junkers JU-5/-3m,15,12,3,4,1,3,0
1376,1953-04-10,,"Off Kingston, Jamaica",Caribbean International Airways,Lockheed 18-56 LodeStar,13,10,3,13,10,3,0
1377,1953-04-14,,"Near Guwahati, India",Airways,Douglas C-47A,3,0,3,3,0,3,0
1378,1953-04-14,02:22:00,"Selleck, Washington",Miami Airlines,Douglas DC-3 (C-47-DL),25,22,3,7,5,2,0
1379,1953-04-16,,"NW of Hanoi, Vietnam",Aigle Azur,Douglas DC-3,30,27,3,30,27,3,0
1380,1953-04-20,23:08:00,"San Francisco Bay, California",Western Airlines,Douglas DC-6B,10,5,5,8,4,4,0
1381,1953-05-02,16:35:00,"Near Jalalogori, West Bengal, India",British Overseas Airways,de Havilland DH106 Comet 1,43,37,6,43,37,6,0
1382,1953-05-07,,"Off Hartland Point, England",Military - Royal Air Force,Vickers Valetta T-3,10,0,10,10,0,10,0
1383,1953-05-09,01:28:00,"New Delhi, India",Air India,Douglas DC-3,18,13,5,18,13,5,0
1384,1953-05-11,,"Prince Rupert, BC, Canada",Canadian Pacific Air Lines,Consolidated PBY-5A Catalina,19,16,3,2,1,1,0
1385,1953-05-17,14:15:00,"Near Marshall, Texas",Delta Air Lines,Douglas DC-3,20,17,3,19,16,3,0
1386,1953-05-24,04:18:00,"St. Louis, Missouri",Meteor Air,Douglas DC-3,7,2,5,6,1,5,
1387,1953-05-25,15:30:00,"Amsterdam, Netherlands",KLM Royal Dutch Airlines,Convair CV-240-4,34,28,6,0,0,0,2
1388,1953-05-27,03:50:00,"Goose Wade, Russia",Aeroflot,Li-2 / Li-2T,20,16,11,20,16,11,0
1389,1953-06-14,16:35:00,"Near  Zugdidi, Georgia",Aeroflot,Ilyushin IL-2,18,12,6,18,12,6,0
1390,1953-06-15,,"San Ramon Mtns., Costa Rica",LACSA,Douglas DC-3,17,14,3,9,6,3,0
1391,1953-06-15,,"Near Reo Copiapo, Chile",LAN Chile,Lockheed 18 Loadstar,7,5,2,7,5,2,0
1392,1953-06-16,,"Mount Phou-Lassy, French Indo-China",Aigle Azur,Douglas DC-3,34,31,3,34,31,3,0
1393,1953-06-17,22:00:00,"Sao Paulo, Brazil",Panair do Brasil,Lockheed 049-46-21 Constellation,17,10,7,17,10,7,0
1394,1953-06-18,16:34:00,"Tachikawa AFB, Tokyo, Japan",Military - U.S. Air Force,Douglas C-124A Globemaster II,129,122,7,129,122,7,0
1395,1953-07-12,08:41:00,"Pacific Ocean, 325 miles east of Wake Island",Transocean Air Lines,Douglas DC-6A,58,50,8,58,50,8,0
1396,1953-07-17,23:15:00,"Near Milton, Florida",Military - U.S. Navy,Fairchild R4Q-2,46,40,6,44,39,5,0
1397,1953-07-27,12:30:00,"Near Kanggye, North Korea",Aeroflot,Ilyushin IL-12,21,15,6,21,15,6,0
